trial_id,dataset,target_transition,comparison_transition,condition,condition_label,task,stimulus_path,candidate_cell_ids,target_cell_id,ground_truth,delta_color_limit,counterbalance_block
Hubei_M02_C4_integrated_deltaannulus_magnitude_comparison,湖北,M01-M02,M01-M02,C4_integrated_deltaannulus,Integrated DeltaAnnulus,magnitude_comparison,stimuli/Hubei_M02_C4_integrated_deltaannulus.png,"[""CEG2000_f4_r0034_c0095"", ""CEG2000_f4_r0033_c0095""]",,CEG2000_f4_r0034_c0095,19.181641783146755,D
Hubei_M02_C4_integrated_deltaannulus_temporal_comparison,湖北,M01-M02,M01-M02,C4_integrated_deltaannulus,Integrated DeltaAnnulus,temporal_comparison,stimuli/Hubei_M02_C4_integrated_deltaannulus.png,"[""comparison_transition"", ""target_transition""]",,comparison_transition,19.181641783146755,D
Hubei_M02_C4_integrated_deltaannulus_radial_center_periphery_pattern,湖北,M01-M02,M01-M02,C4_integrated_deltaannulus,Integrated DeltaAnnulus,radial_center_periphery_pattern,stimuli/Hubei_M02_C4_integrated_deltaannulus.png,"[""inner_dominant"", ""outer_dominant"", ""balanced""]",,inner_dominant,19.181641783146755,D
Hubei_M04_C1_geographic_state_comparison_change_localization,湖北,M03-M04,M02-M03,C1_geographic_state_comparison,Geographic State Comparison,change_localization,stimuli/Hubei_M04_C1_geographic_state_comparison.png,"[""CEG2000_f4_r0036_c0094"", ""CEG2000_f4_r0034_c0093"", ""CEG2000_f4_r0033_c0090"", ""CEG2000_f4_r0033_c0091""]",,CEG2000_f4_r0036_c0094,19.181641783146755,A
Hubei_M04_C1_geographic_state_comparison_increase_decrease,湖北,M03-M04,M02-M03,C1_geographic_state_comparison,Geographic State Comparison,increase_decrease,stimuli/Hubei_M04_C1_geographic_state_comparison.png,"[""increase"", ""decrease""]",CEG2000_f4_r0031_c0097,decrease,19.181641783146755,A
Hubei_M04_C1_geographic_state_comparison_magnitude_comparison,湖北,M03-M04,M02-M03,C1_geographic_state_comparison,Geographic State Comparison,magnitude_comparison,stimuli/Hubei_M04_C1_geographic_state_comparison.png,"[""CEG2000_f4_r0036_c0094"", ""CEG2000_f4_r0036_c0093""]",,CEG2000_f4_r0036_c0094,19.181641783146755,A
Hubei_M04_C1_geographic_state_comparison_temporal_comparison,湖北,M03-M04,M02-M03,C1_geographic_state_comparison,Geographic State Comparison,temporal_comparison,stimuli/Hubei_M04_C1_geographic_state_comparison.png,"[""comparison_transition"", ""target_transition""]",,target_transition,19.181641783146755,A
Hubei_M04_C1_geographic_state_comparison_radial_center_periphery_pattern,湖北,M03-M04,M02-M03,C1_geographic_state_comparison,Geographic State Comparison,radial_center_periphery_pattern,stimuli/Hubei_M04_C1_geographic_state_comparison.png,"[""inner_dominant"", ""outer_dominant"", ""balanced""]",,balanced,19.181641783146755,A
Hubei_M04_C2_geographic_direct_delta_change_localization,湖北,M03-M04,M02-M03,C2_geographic_direct_delta,Geographic Direct Delta,change_localization,stimuli/Hubei_M04_C2_geographic_direct_delta.png,"[""CEG2000_f4_r0036_c0094"", ""CEG2000_f4_r0034_c0093"", ""CEG2000_f4_r0033_c0090"", ""CEG2000_f4_r0033_c0091""]",,CEG2000_f4_r0036_c0094,19.181641783146755,B
Hubei_M04_C2_geographic_direct_delta_increase_decrease,湖北,M03-M04,M02-M03,C2_geographic_direct_delta,Geographic Direct Delta,increase_decrease,stimuli/Hubei_M04_C2_geographic_direct_delta.png,"[""increase"", ""decrease""]",CEG2000_f4_r0031_c0097,decrease,19.181641783146755,B
Hubei_M04_C2_geographic_direct_delta_magnitude_comparison,湖北,M03-M04,M02-M03,C2_geographic_direct_delta,Geographic Direct Delta,magnitude_comparison,stimuli/Hubei_M04_C2_geographic_direct_delta.png,"[""CEG2000_f4_r0036_c0094"", ""CEG2000_f4_r0036_c0093""]",,CEG2000_f4_r0036_c0094,19.181641783146755,B
Hubei_M04_C2_geographic_direct_delta_temporal_comparison,湖北,M03-M04,M02-M03,C2_geographic_direct_delta,Geographic Direct Delta,temporal_comparison,stimuli/Hubei_M04_C2_geographic_direct_delta.png,"[""comparison_transition"", ""target_transition""]",,target_transition,19.181641783146755,B
Hubei_M04_C2_geographic_direct_delta_radial_center_periphery_pattern,湖北,M03-M04,M02-M03,C2_geographic_direct_delta,Geographic Direct Delta,radial_center_periphery_pattern,stimuli/Hubei_M04_C2_geographic_direct_delta.png,"[""inner_dominant"", ""outer_dominant"", ""balanced""]",,balanced,19.181641783146755,B
Hubei_M04_C3_canonical_geoannulus_direct_delta_change_localization,湖北,M03-M04,M02-M03,C3_canonical_geoannulus_direct_delta,Canonical GeoAnnulus Direct Delta,change_localization,stimuli/Hubei_M04_C3_canonical_geoannulus_direct_delta.png,"[""CEG2000_f4_r0036_c0094"", ""CEG2000_f4_r0034_c0093"", ""CEG2000_f4_r0033_c0090"", ""CEG2000_f4_r0033_c0091""]",,CEG2000_f4_r0036_c0094,19.181641783146755,C
Hubei_M04_C3_canonical_geoannulus_direct_delta_increase_decrease,湖北,M03-M04,M02-M03,C3_canonical_geoannulus_direct_delta,Canonical GeoAnnulus Direct Delta,increase_decrease,stimuli/Hubei_M04_C3_canonical_geoannulus_direct_delta.png,"[""increase"", ""decrease""]",CEG2000_f4_r0031_c0097,decrease,19.181641783146755,C
Hubei_M04_C3_canonical_geoannulus_direct_delta_magnitude_comparison,湖北,M03-M04,M02-M03,C3_canonical_geoannulus_direct_delta,Canonical GeoAnnulus Direct Delta,magnitude_comparison,stimuli/Hubei_M04_C3_canonical_geoannulus_direct_delta.png,"[""CEG2000_f4_r0036_c0094"", ""CEG2000_f4_r0036_c0093""]",,CEG2000_f4_r0036_c0094,19.181641783146755,C
Hubei_M04_C3_canonical_geoannulus_direct_delta_temporal_comparison,湖北,M03-M04,M02-M03,C3_canonical_geoannulus_direct_delta,Canonical GeoAnnulus Direct Delta,temporal_comparison,stimuli/Hubei_M04_C3_canonical_geoannulus_direct_delta.png,"[""comparison_transition"", ""target_transition""]",,target_transition,19.181641783146755,C
Hubei_M04_C3_canonical_geoannulus_direct_delta_radial_center_periphery_pattern,湖北,M03-M04,M02-M03,C3_canonical_geoannulus_direct_delta,Canonical GeoAnnulus Direct Delta,radial_center_periphery_pattern,stimuli/Hubei_M04_C3_canonical_geoannulus_direct_delta.png,"[""inner_dominant"", ""outer_dominant"", ""balanced""]",,balanced,19.181641783146755,C
Hubei_M04_C4_integrated_deltaannulus_change_localization,湖北,M03-M04,M02-M03,C4_integrated_deltaannulus,Integrated DeltaAnnulus,change_localization,stimuli/Hubei_M04_C4_integrated_deltaannulus.png,"[""CEG2000_f4_r0036_c0094"", ""CEG2000_f4_r0034_c0093"", ""CEG2000_f4_r0033_c0090"", ""CEG2000_f4_r0033_c0091""]",,CEG2000_f4_r0036_c0094,19.181641783146755,D
Hubei_M04_C4_integrated_deltaannulus_increase_decrease,湖北,M03-M04,M02-M03,C4_integrated_deltaannulus,Integrated DeltaAnnulus,increase_decrease,stimuli/Hubei_M04_C4_integrated_deltaannulus.png,"[""increase"", ""decrease""]",CEG2000_f4_r0031_c0097,decrease,19.181641783146755,D
Hubei_M04_C4_integrated_deltaannulus_magnitude_comparison,湖北,M03-M04,M02-M03,C4_integrated_deltaannulus,Integrated DeltaAnnulus,magnitude_comparison,stimuli/Hubei_M04_C4_integrated_deltaannulus.png,"[""CEG2000_f4_r0036_c0094"", ""CEG2000_f4_r0036_c0093""]",,CEG2000_f4_r0036_c0094,19.181641783146755,D
Hubei_M04_C4_integrated_deltaannulus_temporal_comparison,湖北,M03-M04,M02-M03,C4_integrated_deltaannulus,Integrated DeltaAnnulus,temporal_comparison,stimuli/Hubei_M04_C4_integrated_deltaannulus.png,"[""comparison_transition"", ""target_transition""]",,target_transition,19.181641783146755,D
Hubei_M04_C4_integrated_deltaannulus_radial_center_periphery_pattern,湖北,M03-M04,M02-M03,C4_integrated_deltaannulus,Integrated DeltaAnnulus,radial_center_periphery_pattern,stimuli/Hubei_M04_C4_integrated_deltaannulus.png,"[""inner_dominant"", ""outer_dominant"", ""balanced""]",,balanced,19.181641783146755,D
Hubei_M06_C1_geographic_state_comparison_change_localization,湖北,M05-M06,M04-M05,C1_geographic_state_comparison,Geographic State Comparison,change_localization,stimuli/Hubei_M06_C1_geographic_state_comparison.png,"[""CEG2000_f4_r0032_c0091"", ""CEG2000_f4_r0035_c0093"", ""CEG2000_f4_r0032_c0097"", ""CEG2000_f4_r0034_c0092""]",,CEG2000_f4_r0032_c0097,19.181641783146755,A
Hubei_M06_C1_geographic_state_comparison_increase_decrease,湖北,M05-M06,M04-M05,C1_geographic_state_comparison,Geographic State Comparison,increase_decrease,stimuli/Hubei_M06_C1_geographic_state_comparison.png,"[""increase"", ""decrease""]",CEG2000_f4_r0028_c0096,decrease,19.181641783146755,A
Hubei_M06_C1_geographic_state_comparison_magnitude_comparison,湖北,M05-M06,M04-M05,C1_geographic_state_comparison,Geographic State Comparison,magnitude_comparison,stimuli/Hubei_M06_C1_geographic_state_comparison.png,"[""CEG2000_f4_r0033_c0096"", ""CEG2000_f4_r0032_c0097""]",,CEG2000_f4_r0032_c0097,19.181641783146755,A
Hubei_M06_C1_geographic_state_comparison_temporal_comparison,湖北,M05-M06,M04-M05,C1_geographic_state_comparison,Geographic State Comparison,temporal_comparison,stimuli/Hubei_M06_C1_geographic_state_comparison.png,"[""comparison_transition"", ""target_transition""]",,target_transition,19.181641783146755,A
Hubei_M06_C1_geographic_state_comparison_radial_center_periphery_pattern,湖北,M05-M06,M04-M05,C1_geographic_state_comparison,Geographic State Comparison,radial_center_periphery_pattern,stimuli/Hubei_M06_C1_geographic_state_comparison.png,"[""inner_dominant"", ""outer_dominant"", ""balanced""]",,inner_dominant,19.181641783146755,A
Hubei_M06_C2_geographic_direct_delta_change_localization,湖北,M05-M06,M04-M05,C2_geographic_direct_delta,Geographic Direct Delta,change_localization,stimuli/Hubei_M06_C2_geographic_direct_delta.png,"[""CEG2000_f4_r0032_c0091"", ""CEG2000_f4_r0035_c0093"", ""CEG2000_f4_r0032_c0097"", ""CEG2000_f4_r0034_c0092""]",,CEG2000_f4_r0032_c0097,19.181641783146755,B
Hubei_M06_C2_geographic_direct_delta_increase_decrease,湖北,M05-M06,M04-M05,C2_geographic_direct_delta,Geographic Direct Delta,increase_decrease,stimuli/Hubei_M06_C2_geographic_direct_delta.png,"[""increase"", ""decrease""]",CEG2000_f4_r0028_c0096,decrease,19.181641783146755,B
Hubei_M06_C2_geographic_direct_delta_magnitude_comparison,湖北,M05-M06,M04-M05,C2_geographic_direct_delta,Geographic Direct Delta,magnitude_comparison,stimuli/Hubei_M06_C2_geographic_direct_delta.png,"[""CEG2000_f4_r0033_c0096"", ""CEG2000_f4_r0032_c0097""]",,CEG2000_f4_r0032_c0097,19.181641783146755,B
Hubei_M06_C2_geographic_direct_delta_temporal_comparison,湖北,M05-M06,M04-M05,C2_geographic_direct_delta,Geographic Direct Delta,temporal_comparison,stimuli/Hubei_M06_C2_geographic_direct_delta.png,"[""comparison_transition"", ""target_transition""]",,target_transition,19.181641783146755,B
Hubei_M06_C2_geographic_direct_delta_radial_center_periphery_pattern,湖北,M05-M06,M04-M05,C2_geographic_direct_delta,Geographic Direct Delta,radial_center_periphery_pattern,stimuli/Hubei_M06_C2_geographic_direct_delta.png,"[""inner_dominant"", ""outer_dominant"", ""balanced""]",,inner_dominant,19.181641783146755,B
Hubei_M06_C3_canonical_geoannulus_direct_delta_change_localization,湖北,M05-M06,M04-M05,C3_canonical_geoannulus_direct_delta,Canonical GeoAnnulus Direct Delta,change_localization,stimuli/Hubei_M06_C3_canonical_geoannulus_direct_delta.png,"[""CEG2000_f4_r0032_c0091"", ""CEG2000_f4_r0035_c0093"", ""CEG2000_f4_r0032_c0097"", ""CEG2000_f4_r0034_c0092""]",,CEG2000_f4_r0032_c0097,19.181641783146755,C
Hubei_M06_C3_canonical_geoannulus_direct_delta_increase_decrease,湖北,M05-M06,M04-M05,C3_canonical_geoannulus_direct_delta,Canonical GeoAnnulus Direct Delta,increase_decrease,stimuli/Hubei_M06_C3_canonical_geoannulus_direct_delta.png,"[""increase"", ""decrease""]",CEG2000_f4_r0028_c0096,decrease,19.181641783146755,C
Hubei_M06_C3_canonical_geoannulus_direct_delta_magnitude_comparison,湖北,M05-M06,M04-M05,C3_canonical_geoannulus_direct_delta,Canonical GeoAnnulus Direct Delta,magnitude_comparison,stimuli/Hubei_M06_C3_canonical_geoannulus_direct_delta.png,"[""CEG2000_f4_r0033_c0096"", ""CEG2000_f4_r0032_c0097""]",,CEG2000_f4_r0032_c0097,19.181641783146755,C
Hubei_M06_C3_canonical_geoannulus_direct_delta_temporal_comparison,湖北,M05-M06,M04-M05,C3_canonical_geoannulus_direct_delta,Canonical GeoAnnulus Direct Delta,temporal_comparison,stimuli/Hubei_M06_C3_canonical_geoannulus_direct_delta.png,"[""comparison_transition"", ""target_transition""]",,target_transition,19.181641783146755,C
Hubei_M06_C3_canonical_geoannulus_direct_delta_radial_center_periphery_pattern,湖北,M05-M06,M04-M05,C3_canonical_geoannulus_direct_delta,Canonical GeoAnnulus Direct Delta,radial_center_periphery_pattern,stimuli/Hubei_M06_C3_canonical_geoannulus_direct_delta.png,"[""inner_dominant"", ""outer_dominant"", ""balanced""]",,inner_dominant,19.181641783146755,C
Hubei_M06_C4_integrated_deltaannulus_change_localization,湖北,M05-M06,M04-M05,C4_integrated_deltaannulus,Integrated DeltaAnnulus,change_localization,stimuli/Hubei_M06_C4_integrated_deltaannulus.png,"[""CEG2000_f4_r0032_c0091"", ""CEG2000_f4_r0035_c0093"", ""CEG2000_f4_r0032_c0097"", ""CEG2000_f4_r0034_c0092""]",,CEG2000_f4_r0032_c0097,19.181641783146755,D
Hubei_M06_C4_integrated_deltaannulus_increase_decrease,湖北,M05-M06,M04-M05,C4_integrated_deltaannulus,Integrated DeltaAnnulus,increase_decrease,stimuli/Hubei_M06_C4_integrated_deltaannulus.png,"[""increase"", ""decrease""]",CEG2000_f4_r0028_c0096,decrease,19.181641783146755,D
Hubei_M06_C4_integrated_deltaannulus_magnitude_comparison,湖北,M05-M06,M04-M05,C4_integrated_deltaannulus,Integrated DeltaAnnulus,magnitude_comparison,stimuli/Hubei_M06_C4_integrated_deltaannulus.png,"[""CEG2000_f4_r0033_c0096"", ""CEG2000_f4_r0032_c0097""]",,CEG2000_f4_r0032_c0097,19.181641783146755,D
Hubei_M06_C4_integrated_deltaannulus_temporal_comparison,湖北,M05-M06,M04-M05,C4_integrated_deltaannulus,Integrated DeltaAnnulus,temporal_comparison,stimuli/Hubei_M06_C4_integrated_deltaannulus.png,"[""comparison_transition"", ""target_transition""]",,target_transition,19.181641783146755,D
Hubei_M06_C4_integrated_deltaannulus_radial_center_periphery_pattern,湖北,M05-M06,M04-M05,C4_integrated_deltaannulus,Integrated DeltaAnnulus,radial_center_periphery_pattern,stimuli/Hubei_M06_C4_integrated_deltaannulus.png,"[""inner_dominant"", ""outer_dominant"", ""balanced""]",,inner_dominant,19.181641783146755,D
Hubei_M08_C1_geographic_state_comparison_change_localization,湖北,M07-M08,M06-M07,C1_geographic_state_comparison,Geographic State Comparison,change_localization,stimuli/Hubei_M08_C1_geographic_state_comparison.png,"[""CEG2000_f4_r0031_c0102"", ""CEG2000_f4_r0030_c0094"", ""CEG2000_f4_r0027_c0089"", ""CEG2000_f4_r0033_c0091""]",,CEG2000_f4_r0030_c0094,19.181641783146755,A
Hubei_M08_C1_geographic_state_comparison_increase_decrease,湖北,M07-M08,M06-M07,C1_geographic_state_comparison,Geographic State Comparison,increase_decrease,stimuli/Hubei_M08_C1_geographic_state_comparison.png,"[""increase"", ""decrease""]",CEG2000_f4_r0036_c0090,increase,19.181641783146755,A
Hubei_M08_C1_geographic_state_comparison_magnitude_comparison,湖北,M07-M08,M06-M07,C1_geographic_state_comparison,Geographic State Comparison,magnitude_comparison,stimuli/Hubei_M08_C1_geographic_state_comparison.png,"[""CEG2000_f4_r0030_c0095"", ""CEG2000_f4_r0030_c0094""]",,CEG2000_f4_r0030_c0094,19.181641783146755,A
Hubei_M08_C1_geographic_state_comparison_temporal_comparison,湖北,M07-M08,M06-M07,C1_geographic_state_comparison,Geographic State Comparison,temporal_comparison,stimuli/Hubei_M08_C1_geographic_state_comparison.png,"[""comparison_transition"", ""target_transition""]",,comparison_transition,19.181641783146755,A
Hubei_M08_C1_geographic_state_comparison_radial_center_periphery_pattern,湖北,M07-M08,M06-M07,C1_geographic_state_comparison,Geographic State Comparison,radial_center_periphery_pattern,stimuli/Hubei_M08_C1_geographic_state_comparison.png,"[""inner_dominant"", ""outer_dominant"", ""balanced""]",,inner_dominant,19.181641783146755,A
Hubei_M08_C2_geographic_direct_delta_change_localization,湖北,M07-M08,M06-M07,C2_geographic_direct_delta,Geographic Direct Delta,change_localization,stimuli/Hubei_M08_C2_geographic_direct_delta.png,"[""CEG2000_f4_r0031_c0102"", ""CEG2000_f4_r0030_c0094"", ""CEG2000_f4_r0027_c0089"", ""CEG2000_f4_r0033_c0091""]",,CEG2000_f4_r0030_c0094,19.181641783146755,B
Hubei_M08_C2_geographic_direct_delta_increase_decrease,湖北,M07-M08,M06-M07,C2_geographic_direct_delta,Geographic Direct Delta,increase_decrease,stimuli/Hubei_M08_C2_geographic_direct_delta.png,"[""increase"", ""decrease""]",CEG2000_f4_r0036_c0090,increase,19.181641783146755,B
Hubei_M08_C2_geographic_direct_delta_magnitude_comparison,湖北,M07-M08,M06-M07,C2_geographic_direct_delta,Geographic Direct Delta,magnitude_comparison,stimuli/Hubei_M08_C2_geographic_direct_delta.png,"[""CEG2000_f4_r0030_c0095"", ""CEG2000_f4_r0030_c0094""]",,CEG2000_f4_r0030_c0094,19.181641783146755,B
Hubei_M08_C2_geographic_direct_delta_temporal_comparison,湖北,M07-M08,M06-M07,C2_geographic_direct_delta,Geographic Direct Delta,temporal_comparison,stimuli/Hubei_M08_C2_geographic_direct_delta.png,"[""comparison_transition"", ""target_transition""]",,comparison_transition,19.181641783146755,B
Hubei_M08_C2_geographic_direct_delta_radial_center_periphery_pattern,湖北,M07-M08,M06-M07,C2_geographic_direct_delta,Geographic Direct Delta,radial_center_periphery_pattern,stimuli/Hubei_M08_C2_geographic_direct_delta.png,"[""inner_dominant"", ""outer_dominant"", ""balanced""]",,inner_dominant,19.181641783146755,B
Hubei_M08_C3_canonical_geoannulus_direct_delta_change_localization,湖北,M07-M08,M06-M07,C3_canonical_geoannulus_direct_delta,Canonical GeoAnnulus Direct Delta,change_localization,stimuli/Hubei_M08_C3_canonical_geoannulus_direct_delta.png,"[""CEG2000_f4_r0031_c0102"", ""CEG2000_f4_r0030_c0094"", ""CEG2000_f4_r0027_c0089"", ""CEG2000_f4_r0033_c0091""]",,CEG2000_f4_r0030_c0094,19.181641783146755,C
Hubei_M08_C3_canonical_geoannulus_direct_delta_increase_decrease,湖北,M07-M08,M06-M07,C3_canonical_geoannulus_direct_delta,Canonical GeoAnnulus Direct Delta,increase_decrease,stimuli/Hubei_M08_C3_canonical_geoannulus_direct_delta.png,"[""increase"", ""decrease""]",CEG2000_f4_r0036_c0090,increase,19.181641783146755,C
Hubei_M08_C3_canonical_geoannulus_direct_delta_magnitude_comparison,湖北,M07-M08,M06-M07,C3_canonical_geoannulus_direct_delta,Canonical GeoAnnulus Direct Delta,magnitude_comparison,stimuli/Hubei_M08_C3_canonical_geoannulus_direct_delta.png,"[""CEG2000_f4_r0030_c0095"", ""CEG2000_f4_r0030_c0094""]",,CEG2000_f4_r0030_c0094,19.181641783146755,C
Hubei_M08_C3_canonical_geoannulus_direct_delta_temporal_comparison,湖北,M07-M08,M06-M07,C3_canonical_geoannulus_direct_delta,Canonical GeoAnnulus Direct Delta,temporal_comparison,stimuli/Hubei_M08_C3_canonical_geoannulus_direct_delta.png,"[""comparison_transition"", ""target_transition""]",,comparison_transition,19.181641783146755,C
Hubei_M08_C3_canonical_geoannulus_direct_delta_radial_center_periphery_pattern,湖北,M07-M08,M06-M07,C3_canonical_geoannulus_direct_delta,Canonical GeoAnnulus Direct Delta,radial_center_periphery_pattern,stimuli/Hubei_M08_C3_canonical_geoannulus_direct_delta.png,"[""inner_dominant"", ""outer_dominant"", ""balanced""]",,inner_dominant,19.181641783146755,C
Hubei_M08_C4_integrated_deltaannulus_change_localization,湖北,M07-M08,M06-M07,C4_integrated_deltaannulus,Integrated DeltaAnnulus,change_localization,stimuli/Hubei_M08_C4_integrated_deltaannulus.png,"[""CEG2000_f4_r0031_c0102"", ""CEG2000_f4_r0030_c0094"", ""CEG2000_f4_r0027_c0089"", ""CEG2000_f4_r0033_c0091""]",,CEG2000_f4_r0030_c0094,19.181641783146755,D
Hubei_M08_C4_integrated_deltaannulus_increase_decrease,湖北,M07-M08,M06-M07,C4_integrated_deltaannulus,Integrated DeltaAnnulus,increase_decrease,stimuli/Hubei_M08_C4_integrated_deltaannulus.png,"[""increase"", ""decrease""]",CEG2000_f4_r0036_c0090,increase,19.181641783146755,D
Hubei_M08_C4_integrated_deltaannulus_magnitude_comparison,湖北,M07-M08,M06-M07,C4_integrated_deltaannulus,Integrated DeltaAnnulus,magnitude_comparison,stimuli/Hubei_M08_C4_integrated_deltaannulus.png,"[""CEG2000_f4_r0030_c0095"", ""CEG2000_f4_r0030_c0094""]",,CEG2000_f4_r0030_c0094,19.181641783146755,D
