dataset,method,view,cell_count,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
NASA-Exoplanet-SkyGrid,Direct Polar,disk,162,0.20730593607305936,0.7418300653594772,0.3240542469664525,306,1095,227,79,868,0.2282015080798047,0.22452585420677565,41.948062643365645,12.181140318525102,0.2582505840300203,7.123275425410666,0.0,0.0024671488138729605,128
NASA-Exoplanet-SkyGrid,Harmonic,disk,162,0.4503464203233256,0.6372549019607843,0.5277401894451962,306,433,195,111,238,0.47433264675397196,0.48640061672828105,48.7763991372796,10.131753113575439,0.08902516682577087,0.784379675856385,0.0,8.481573765796535e-16,0
NASA-Exoplanet-SkyGrid,Area-balanced,disk,162,0.6557788944723618,0.8529411764705882,0.7414772727272727,306,398,261,45,137,0.6534283697166394,0.6712479905410058,9.196587820505679,2.6826980537714475,0.9662459496114076,0.9175796350433385,0.0028239641678274616,4.2407868828982674e-16,0
NASA-Exoplanet-SkyGrid,Regular Topology,disk,162,0.48975409836065575,0.7810457516339869,0.6020151133501259,306,488,239,67,249,0.46777486678765073,0.43531725519887216,30.454807659062222,3.6461332740054897,0.9742118758892301,1.322677329748573,0.0013783268415833011,0.0021106670217311985,2
NASA-Exoplanet-SkyGrid,GeoDisk,disk,162,0.5678160919540229,0.8071895424836601,0.6666666666666666,306,435,247,59,188,0.5420122011800083,0.5541572270941137,23.240040195209065,1.5107833762572616,0.9593307897592754,1.3528086387648635,0.004893351227920451,4.8062251339513697e-14,0
NASA-Exoplanet-SkyGrid,GeoDisk-Final,disk,162,0.6505747126436782,0.9248366013071896,0.7638326585695007,306,435,283,23,152,0.6420298001431185,0.6343721617376853,18.490418706240863,2.617640706323399,0.9608149678022397,0.9608674678390438,0.0,2.5444721297389605e-15,0
NASA-Exoplanet-SkyGrid,Direct Polar,annulus,162,0.20730593607305936,0.7418300653594772,0.3240542469664525,306,1095,227,79,868,0.2282015080798047,0.22452585420677565,41.948062643365645,12.181140318525102,0.2582505840300203,7.123275425410666,0.0,0.0032057546957801404,128
NASA-Exoplanet-SkyGrid,Harmonic,annulus,162,0.4317617866004963,0.5686274509803921,0.49083215796897034,306,403,174,132,229,0.3975526592928967,0.4346052970943221,52.28771228527566,8.08336678905663,0.001484856049050389,1.0706478489739433,0.010471175328111041,1.8367926554479685e-16,0
NASA-Exoplanet-SkyGrid,Area-balanced,annulus,162,0.5527638190954773,0.7189542483660131,0.6249999999999999,306,398,220,86,178,0.5375212511034091,0.5783202278643419,20.00878991617148,1.022445103302907,0.9533062985927143,0.9161665602986967,0.002561490527400163,2.5715097176271556e-15,0
NASA-Exoplanet-SkyGrid,Regular Topology,annulus,162,0.551980198019802,0.7287581699346405,0.6281690140845071,306,404,223,83,181,0.4978118345912164,0.48378247779640665,32.34826290269059,3.646133274005491,0.9635642754850184,1.1016296997490926,0.0023563286455035,0.002952453995712444,2
NASA-Exoplanet-SkyGrid,GeoAnnulus,annulus,162,0.5295566502463054,0.7026143790849673,0.6039325842696629,306,406,215,91,191,0.5006242669690595,0.54079976493956,24.191336695979793,0.9679698999591613,0.9581218552365812,1.1564054776126478,0.003373956431759112,2.207396542008767e-08,0
NASA-Exoplanet-SkyGrid,GeoAnnulus-Final,annulus,162,0.6066350710900474,0.8366013071895425,0.7032967032967032,306,422,256,50,166,0.6374383250515574,0.6559867849716547,24.876756242396304,1.1305778866807625,0.9254651952303637,0.9581580211400235,2.0204719209927652e-15,0.0,0
